id,exerciseId,ratingELO
31304,5028,196
65255,5562,193
64295,5563,195
48841,5564,172
50822,5565,202
50784,5566,202
49600,5567,180
65779,5568,192
64104,5569,194
48491,5570,178
31517,6883,201
31325,6887,201
31447,6889,196
31349,6901,197
31372,6910,199
31438,6912,201
31495,6917,198
49634,6923,186
49627,6924,168
60839,6926,206
49635,6928,165
60382,6929,202
49628,6930,194
50484,6931,202
66051,6932,196
31343,6955,201
31344,6957,201
31345,6959,197
31313,6960,202
50841,7069,197
49512,7070,181
47159,7071,185
46771,7072,179
48570,7073,176
63447,7074,189
46818,7075,192
46819,7076,170
48819,7077,184
48844,7078,170
63314,7079,188
46782,7080,196
58680,7081,199
63347,7082,186
58742,7083,198
63276,7084,197
63237,7085,192
46900,7086,191
49449,7087,182
63448,7088,185
63238,7089,191
46706,7091,214
50239,7092,198
47528,7093,180
64058,7094,197
64279,7095,178
64881,7096,198
60779,7098,186
62728,7099,207
60095,7100,181
62555,7101,181
62169,7102,202
61480,7103,200
62556,7104,186
64880,7105,189
62643,7106,162
62609,7107,196
60819,7108,188
59719,7109,192
62963,7110,200
62628,7111,183
62730,7112,183
62747,7113,199
61281,7114,177
62748,7115,197
61282,7116,180
62764,7117,198
60505,7118,199
62774,7119,182
61232,7120,206
64042,7121,194
62572,7122,187
62661,7123,198
47407,7124,145
32149,7125,201
64718,7126,187
66182,7127,190
59365,7128,197
63850,7129,197
64242,7130,202
65899,7131,186
63244,7132,186
66021,7133,199
50988,7134,202
65764,7135,203
65532,7136,206
48202,7137,175
66022,7138,201
49345,7139,187
65423,7140,205
65287,7141,198
50862,7142,201
64401,7143,200
65999,7144,181
48167,7145,178
64652,7146,193
62035,7147,196
65388,7148,184
66131,7149,184
46733,7150,196
66000,7151,160
66001,7152,190
65410,7153,194
64659,7154,198
63044,7155,192
48190,7156,169
66107,7157,177
66150,7158,185
64765,7159,191
65402,7160,186
65893,7163,183
49651,7166,203
48877,7167,205
48665,7168,215
43873,7169,188
49736,7170,197
50820,7171,197
49728,7172,172
43974,7173,189
49719,7174,173
51038,7175,202
49709,7176,184
49721,7177,194
49687,7178,193
49654,7179,193
50430,7181,202
46952,7182,194
49740,7183,202
47641,7184,193
49737,7185,219
35924,7186,190
51039,7187,197
51040,7188,202
49658,7189,192
49739,7190,198
49722,7191,195
43989,7192,199
49655,7194,192
47519,7196,196
34447,7197,199
50829,7198,197
49303,7199,198
49238,7200,193
48071,7201,201
47432,7202,201
49294,7204,194
49072,7205,198
49304,7206,197
49283,7207,201
49066,7209,184
48436,7210,206
48573,7211,181
48954,7212,174
48776,7218,176
47960,7219,192
49295,7223,197
49209,7224,193
48171,7225,213
47433,7226,201
49305,7228,201
49127,7229,202
49240,7230,195
49296,7231,197
49058,7233,175
48705,7234,199
47961,7235,188
48589,7236,185
48980,7237,157
48683,7239,176
49723,7410,200
47035,7411,195
49673,7412,194
49701,7413,191
